Stock Name,Stock Industry Name,Stock Code Name,Publication Date,Business Model Type,Open Price,Close Price,PE Ratio,Trading Volume (In Millions),Relative Strength Index (In Scale of 0-100),Volatility (In Rupees),Sentiment Score Index
IIFL Finance,NBFC – Diversified,IIFL,2000,"Personal, SME & commercial lending",475.15,519.75,58.5,1.68,55,10,Bull
UCO Bank,Bank,UCOBANK,2003,Public Sector Bank,29.2,28.15,14.06,13.533,36.4,0.68,Neutral
Karur Vysya Bank,Bank,KARURVYSYA,2000,Private Sector Bank,269.55,259.9,10.31,2.449,45,1.82,Bear
Jammu & Kashmir Bank,Bank,J&KBANK,1998,Public Sector Bank,114,110.11,5.31,4.955,46,2.99,Bear
Ujjivan Small Finance Bank,Bank,UJJIVANSFB,2019,Small Finance Bank,48.2,47.51,15.76,6.598,39,1.46,Bull
South Indian Bank,Bank,SOUTHBANK,1998,Private Sector Bank,30.89,29.21,5.8,7.061,49,0.71,Bull
Tamilnad Mercantile Bank,Private Bank,TMB,1921,Retail & MSME Banking (Tamil Nadu focus),855,845,14,0.45,48,7,Neutral
CSB Bank,Private Bank,CSBBANK,2019,Regional Universal Banking,412.15,415,18.5,0.309,50,6,Neutral
Karnataka Bank,Private Bank,KTKBANK,1924,Retail/SME Banking,116,114.5,12.5,0.52,46,7.5,Bear
Equitas Small Fin Bank,Small Finance Bank,EQUITAS,2016,Retail & Microfinance Lending,77.25,76.1,22,2.12,45,2,Bear
Jana Small Fin Bank,Small Finance Bank,JANASFB,2018,Micro & Retail Lending,68.4,66,30,1.05,40,2,Bear
DCB Bank,Private Bank,DCBBANK,1930,Retail & MSME Banking,142.21,142.67,5.96,1.61,49,1.8,Neutral
Utkarsh Small Fin Bank,Small Finance Bank,UJJIVANSFB,2019,Micro & Rural Lending,42.5,41.9,18,0.84,42,1.5,Bear
21st Century Mgt,NBFC/Consulting,21CMGMT,2021,Small NBFC – consulting,120,118,25,0.05,46,3,Neutral
360 One WAM,Wealth Mgmt,360WAM,2020,Asset management–finance,155,152.5,40,0.08,48,4,Neutral
3P Land Holdings,Real Estate,3PLH,2019,Land development,45,44,18,0.03,44,1.2,Bear
5Paisa Capital,Broking,5PAISA,2018,Discount broker,165,168.5,30.5,0.21,55,5.5,Bull
A-1 Designs,Industrial Manufacturing,A1DESIGNS,2015,Valve and engineering,78,76,22,0.02,42,1.8,Neutral
Aditya Infotech,Financial Institution,ADITYAINF,2017,Software & ERP solutions,45,44.5,28,0.04,50,2,Neutral
Aptus Value Housing,Housing Finance,APTUSVH,2016,Housing loans,135,133.5,18.5,0.15,47,3.5,Neutral
Aavas Financiers,Housing Finance,AAVAS,2018,Affordable home loans,"2,098.00","2,075.00",20.2,0.38,52,32,Neutral
Can Fin Homes,Housing Finance,CANFINHOME,1995,Home loans (PSU-linked),"1,410.00","1,385.00",14.8,0.25,48,28,Neutral
Cello World,Consumer Durables,CELLO,1995,Plastics & stationery,290,285,25,0.1,46,7,Bear
Entero Healthcare,Pharma,ENTEROHEAL,2018,Contract manufacturing,620,605,32.5,0.05,48,18,Neutral
Choice International,Financial Services,CHOICE,2010,Share lending & margin financing,133,130.75,15,0.15,50,3,Neutral
Edelweiss Fin. Services,NBFC / Investment Banking,EDELWEISS,2008,"Credit, wealth, advisory",112.5,114.2,13.8,2.2,52,2.8,Bull
Five Star Business Finance,NBFC – Vehicle Loans,FIVECAST,2017,Micro auto financing,195,190.5,18,0.8,45,4,Bear
Home First Finance,Housing Finance (HFC),HOMEFIRST,2021,Affordable home loans,383,390.25,24.5,0.56,60,11,Bull
Honasa Consumer,FMCG – Consumer Goods,HONASA,2022,Beauty & personal care products,343,335.5,25,0.4,46,12,Neutral
India Shelter Finance,Housing Finance (HFC),ISF,2018,Affordable home loans,213,210,16,0.1,48,6,Neutral
JM Financial,Financial Services,JMFINANCIL,1992,Investment banking & NBFC,163,160.25,13.2,1.5,49,3.5,Neutral
ICRA,Credit Ratings,ICRA,1993,"Rating, research, risk services",315,318.5,17.5,0.05,55,8,Bull
MAS Financial,NBFC – SME Lending,MASFIN,2009,SME loan origination,181.5,188,19,0.65,56,5.5,Bull
MMTC Ltd,Government Trading Co.,MMTC,1963,Metals & mineral trading,145,143,9,0.3,47,3,Neutral
Optiemus Infracom,Telecom Electronics,OPTIEMUS,2011,Mobile assembly & distribution,242,235.5,14,0.22,44,11,Bear
Pilani Investments,Investment Co.,PILANIINVS,1995,Holding company for real estate & agri,325,320,12.5,0.01,43,10,Neutral
Prudent Finvest,NBFC – Wealth Finance,PRUDENT,2008,Stock lending & margin,53.5,52,14,0.25,48,1.5,Neutral
Redington (India),IT Distributor,REDINGTON,1994,Distribution of IT/telecom products,120,119.5,16,0.75,49,3,Neutral
Religare Enterprises,Financial Services Holding,RELIGARE,2007,Holding co. for Care Health & broking,47,46.8,12,0.35,47,1.2,Neutral
Sammaan Capital,Investment Management,SAMMAANCAP,2011,Private equity & alternate asset mgmt,420,415,18,0.08,46,4,Bear
Shree Global Tradefin Ltd,NBFC – Trade Finance,SHTL,2012,Trade receivables/niche NBFC,135,132.5,20,0.12,45,3.5,Neutral
Shriram City Financial,NBFC – Consumer Finance,SHRIRAMCITY,1999,Used vehicle & personal loans,560,545,25,1.2,44,8,Bear
UTI Asset Management,Asset Management,UTIAMC,2003,Mutual funds & AMC,825,840,22.5,0.5,51,12,Bull
Cholamandalam Finance,NBFC – Auto/SME Finance,CHOLAFIN,1995,Vehicle finance & SME loans,"1,530.00","1,532.50",30.6,1.18,41.5,9.1,Bear
Cholamandalam Investment & Finance,NBFC – Investment Finance,CHOLAINV,1995,"Home equity, asset loans","1,522.00","1,518.50",30.6,1.05,42,8.5,Bear
Go Digit General Insurance,General Insurance (Digital),DIGITINSUR,2022,Online non-life insurance,420,425,40,0.35,56,14,Bull
Multi Commodity Exchange (MCX),Commodities Exchange,MCX,2012,Commodity spot & derivatives exchange,"2,150.00","2,170.00",18,0.45,52,50,Bull
Nippon Life India AMC,Asset Management,NAM INDIA,2018,Mutual fund products,630,640,24,0.28,54,8,Bull
Poonawalla Fincorp,NBFC – MSME & Commercial,PFCL,2015,Commercial & MSME lending,445,438,22,0.65,45,6,Neutral
Tata Investment Corporation,Holding Company,TATAINVEST,1937,Investment in group businesses,695,685,16,0.1,46,10,Bear
